author/canDm,author/canMediaTag,author/coverPicture,author/createdAt,author/description,author/entities/url/urls/0/display_url,author/entities/url/urls/0/url,author/favouritesCount,author/followers,author/following,author/hasCustomTimelines,author/isBlueVerified,author/location,author/mediaCount,author/name,author/pinnedTweetIds/0,author/profilePicture,author/statusesCount,author/twitterUrl,author/url,author/userName,author/verifiedType,bookmarkCount,card/legacy/user_refs_results/0/result/legacy/screen_name,conversationId,createdAt,entities/hashtags/0/indices/0,entities/hashtags/0/indices/1,entities/hashtags/0/text,fullText,id,inReplyToId,inReplyToUsername,isConversationControlled,isQuote,isReply,lang,likeCount,possiblySensitive,quote/author/canDm,quote/author/canMediaTag,quote/author/createdAt,quote/author/followers,quote/author/following,quote/author/id,quote/author/isBlueVerified,quote/author/isVerified,quote/author/location,quote/author/name,quote/isPinned,quote/lang,quote/likeCount,quote/possiblySensitive,quote/quoteCount,quote/replyCount,quote/retweetCount,quote/text,quote/viewCount,quoteCount,quoteId,replyCount,retweetCount,source,text,twitterUrl,viewCount,platform
FALSO,VERDADERO,https://pbs.twimg.com/profile_banners/1574900088358416384/1736651771,Tue Sep 27 23:14:33 +0000 2022,"?????????????? ?????????? ?????? ?????? ??????????!
|???? ???????? ???? ????????|
#????????????????",,,10002,156,166,VERDADERO,FALSO,,207,??????????????????????,"1,88124E+34",https://pbs.twimg.com/profile_images/1881978515249397760/gz3EzsZ-_normal.jpg,4796,https://twitter.com/boba_yeol,https://x.com/boba_yeol,boba_yeol,,55,,"1,88232E+18",Thu Jan 23 07:04:19 +0000 2025,,,,"Watch them playing the victim card after getting caught spreading misinformation about EXO unprovoked.
If being 18yo didn't stop you from spreading misinformation about EXO then you being 18yo won't stop us from teaching you a well deserved lesson b!tch.","1,88232E+18",,,FALSO,VERDADERO,FALSO,en,1896,,VERDADERO,FALSO,Sat Apr 08 13:12:17 +0000 2023,39120.0,10040.0,"1,64469E+34",FALSO,FALSO,,???????,FALSO,en,3920.0,FALSO,2040.0,1090.0,250.0,exols bvllying 18yo on twitter I know exo proud asf anyways drop my @  https://t.co/K26gjrRRso,1283000.0,1,"1,88231E+34",10,302,Twitter for Android,"Watch them playing the victim card after getting caught spreading misinformation about EXO unprovoked.
If being 18yo didn't stop you from spreading misinformation about EXO then you being 18yo won't stop us from teaching you a well deserved lesson b!tch.",https://twitter.com/boba_yeol/status/1882323462355849696,369390.0,TikTok
FALSO,VERDADERO,https://pbs.twimg.com/profile_banners/167138465/1682137302,Thu Jul 15 21:13:55 +0000 2010,"Construcción de sentido.
#EsPorAcá",linktr.ee/patriciobarton,https://t.co/NyFsqIYX98,6925,54956,3752,VERDADERO,FALSO,"Buenos Aires, Argentina",1790,Patricio Barton ??,"1,87557E+34",https://pbs.twimg.com/profile_images/1815748100671041536/XZyfnfYQ_normal.jpg,15655,https://twitter.com/PatricioBarton,https://x.com/PatricioBarton,PatricioBarton,,2,,"1,87304E+18",Sat Dec 28 16:05:12 +0000 2024,,,,"¿Te acordás cuando en el Día de los Inocentes las fake news eran un chiste?
Bueno.
Ya no es gracioso.
El mundo es fake.","1,87304E+18",,,FALSO,FALSO,FALSO,es,450,,,,,,,,,,,,,,,,,,,,,1,,12,58,Twitter for Android,"¿Te acordás cuando en el Día de los Inocentes las fake news eran un chiste?
Bueno.
Ya no es gracioso.
El mundo es fake.",https://twitter.com/PatricioBarton/status/1873037494696219108,56110.0,TikTok
FALSO,FALSO,https://pbs.twimg.com/profile_banners/380456440/1425308636,Mon Sep 26 17:42:52 +0000 2011,Diputado Nacional por Almería,facebook.com/RafaelHernando,https://t.co/UjWFdl65r3,5278,89871,1103,VERDADERO,FALSO,,7473,Rafael Hernando,,https://pbs.twimg.com/profile_images/572397933207633920/Fx5DRnMH_normal.jpeg,19567,https://twitter.com/Rafa_Hernando,https://x.com/Rafa_Hernando,Rafa_Hernando,,3,,"1,85666E+18",Wed Nov 13 11:44:54 +0000 2024,,,,"No paran de negar q dijo lo q dijo. El barro del  bulo sanchista

Si necesitan más recursos q los pidan?@sanchezcastejon? de motu propio no iba a hacer nada. Se inhibió y luego salió huyendo 

Pásalo https://t.co/PjNE5Rdias","1,85666E+18",,,FALSO,FALSO,FALSO,es,374,FALSO,,,,,,,,,,,,,,,,,,,,14,,247,239,Twitter for iPhone,"No paran de negar q dijo lo q dijo. El barro del  bulo sanchista

Si necesitan más recursos q los pidan?@sanchezcastejon? de motu propio no iba a hacer nada. Se inhibió y luego salió huyendo 

Pásalo https://t.co/PjNE5Rdias",https://twitter.com/Rafa_Hernando/status/1856664534355677371,69090.0,TikTok
FALSO,VERDADERO,https://pbs.twimg.com/profile_banners/143489805/1690197300,Thu May 13 16:17:36 +0000 2010,"Periodista. Feminista. Educando en igualdad. Existe el paraíso, está en Vega de Pas. Rural, a mucha honra.",rte-leirediez-unknown.blogspot.com.es/2011/12/renace,https://t.co/yypbjlWvyS,35608,14650,3325,VERDADERO,FALSO,Aquí y allá,3649,Leire Díez,,https://pbs.twimg.com/profile_images/1795170153564422144/1UqPz0d-_normal.jpg,88670,https://twitter.com/leirediezpas,https://x.com/leirediezpas,leirediezpas,,3,,"1,87919E+18",Tue Jan 14 15:50:16 +0000 2025,,,,"Ángela, que todo esto empieza por un bulo de tu periódico.

Por favor","1,87919E+18",,,FALSO,VERDADERO,FALSO,es,543,,FALSO,VERDADERO,Tue Jun 26 10:42:25 +0000 2012,170150.0,13770.0,6189527600,FALSO,FALSO,España,Ángela Martialay,FALSO,es,14120.0,,210.0,1870.0,3820.0,Decirle al lector que no hay indicios contra el fiscal general del Estado es simplemente mentirle,603140.0,2,"1,87912E+33",18,175,Twitter for iPhone,"Ángela, que todo esto empieza por un bulo de tu periódico.

Por favor",https://twitter.com/leirediezpas/status/1879194328507244870,76850.0,TikTok
VERDADERO,VERDADERO,https://pbs.twimg.com/profile_banners/2735284114/1591224129,Wed Aug 06 16:56:15 +0000 2014,,,,10427,289,252,FALSO,FALSO,"Minnesota, USA",1169,JaayceeeDancer,,https://pbs.twimg.com/profile_images/1756865815842832384/RA_zVeCO_normal.jpg,3491,https://twitter.com/jrcdaisy,https://x.com/jrcdaisy,jrcdaisy,,2,,"1,87966E+18",Wed Jan 15 22:44:46 +0000 2025,,,,"She had the Full divorce settlement money, $7 million dollars Tax FREE for 14 months before Johnny sued her. 

I hate the spread of misinformation! Stop with the lies Amber Stan's!","1,87966E+18",,,FALSO,VERDADERO,FALSO,en,106,,VERDADERO,FALSO,Sat Mar 17 01:54:05 +0000 2012,15630.0,4670.0,5269919090,FALSO,FALSO,,depressed and stressed,FALSO,en,120.0,,120.0,0.0,0.0,"@lynch7824 @scnsascrown @affogushi She wasnt able to keep up with payments thanks to the lawsuit her abuser started???  And she did have proof.
Only fault she has was making shit racist jokes but so did her husband",124720.0,0,"1,87162E+34",8,15,Twitter for Android,"She had the Full divorce settlement money, $7 million dollars Tax FREE for 14 months before Johnny sued her. 

I hate the spread of misinformation! Stop with the lies Amber Stan's!",https://twitter.com/jrcdaisy/status/1879661029371916508,20710.0,TikTok
VERDADERO,VERDADERO,https://pbs.twimg.com/profile_banners/2269308902/1445282777,Mon Dec 30 19:05:18 +0000 2013,"News about South African TV and the South African television industry, as well as what is happening across Africa's TV landscape.",teeveetee.blogspot.com,https://t.co/araldBGdXS,9858,13784,1044,FALSO,FALSO,South Africa,17490,TVwithThinus,,https://pbs.twimg.com/profile_images/417775400433881089/Z0RYEHxu_normal.png,37710,https://twitter.com/TVwithThinus,https://x.com/TVwithThinus,TVwithThinus,,3,,"1,63631E+18",Thu Mar 16 09:55:33 +0000 2023,,,,"FAKE NEWS. @eNCA (@DStv 403) tells me the channel had NO plans to put antivaxxer @ShabnamPalesaMo and the other one on television. eMedia says it's not doing any interviews in this regard. 
eNCA adds: They used our old logo in their Twitter post.","1,63631E+18",,,FALSO,VERDADERO,FALSO,en,50,,VERDADERO,FALSO,Wed Apr 13 20:57:47 +0000 2011,101220.0,62360.0,2817217580,VERDADERO,FALSO,,Shabnam Palesa Mohamed,FALSO,en,2150.0,FALSO,170.0,590.0,700.0,"I'll be talking Health, Censorship and Democracy on @eNCA tomorrow with @DrAseemMalhotra

As soon as the time is confirmed, I will update on @ShabnamPalesaMo / @CHD_Africa / @SahariIvsa

What would South Africans like me to highlight?

@SizweLo @robertrapiti @P_McCulloughMD RT https://t.co/c8mAHdPvVC",905140.0,14,"1,63612E+33",10,30,Twitter Web App,"FAKE NEWS. @eNCA (@DStv 403) tells me the channel had NO plans to put antivaxxer @ShabnamPalesaMo and the other one on television. eMedia says it's not doing any interviews in this regard. 
eNCA adds: They used our old logo in their Twitter post.",https://twitter.com/TVwithThinus/status/1636305193326325761,237610.0,TikTok
FALSO,VERDADERO,https://pbs.twimg.com/profile_banners/3049323675/1732995403,Sat Feb 21 10:52:27 +0000 2015,Economist. Assistant Professor of Finance at Wharton.,sylvaincatherine.net,https://t.co/7wDXOvOCrG,16394,31138,2657,VERDADERO,VERDADERO,,1153,Sylvain Catherine,"1,8183E+34",https://pbs.twimg.com/profile_images/569087995693654016/w5Mxpu3w_normal.png,9649,https://twitter.com/sc_cath,https://x.com/sc_cath,sc_cath,,2,,"1,71465E+18",Wed Oct 18 14:11:38 +0000 2023,,,,"What happened yesterday confirms my view on Twitter. Yes, its a massive source of fake news. But so is mainstream media.
However Twitter also has the real news if you follow the right accounts","1,71465E+18",,,FALSO,FALSO,FALSO,en,231,,,,,,,,,,,,,,,,,,,,,4,"1,71439E+34",9,39,Twitter for iPhone,"What happened yesterday confirms my view on Twitter. Yes, its a massive source of fake news. But so is mainstream media.
However Twitter also has the real news if you follow the right accounts",https://twitter.com/sc_cath/status/1714645415260213666,339600.0,TikTok
VERDADERO,VERDADERO,https://pbs.twimg.com/profile_banners/1274441565256265737/1720578754,Sat Jun 20 20:38:54 +0000 2020,"No lo vas a leer, ni ver, ni escuchar en otro lado",youtube.com/channel/UCnejI,https://t.co/QsWdmzDdW3,19823,226354,323,VERDADERO,VERDADERO,,10123,Agarra la Pala,"1,88074E+34",https://pbs.twimg.com/profile_images/1274442731100782593/GPqNXtXn_normal.jpg,25168,https://twitter.com/agarra_pala,https://x.com/agarra_pala,agarra_pala,,39,,"1,88005E+18",Fri Jan 17 00:35:06 +0000 2025,,,,"?? SE TERMINA LA MENTIRA DE MANDRILANDIA Y SE LE VIENE LA NOCHE A LA CHORRA DE CRISTINA ??

??- La condenada Cristina Kirchner enfrentará un durísimo frente judicial durante el 2025
??-  De ser aprobado el nuevo proyecto de Ficha Limpia, NO PODRÁ PRESENTARSE a las elecciones. https://t.co/pijNOyMAZJ","1,88005E+18",,,FALSO,FALSO,FALSO,es,2745,FALSO,,,,,,,,,,,,,,,,,,,,12,,69,740,Twitter Web App,"?? SE TERMINA LA MENTIRA DE MANDRILANDIA Y SE LE VIENE LA NOCHE A LA CHORRA DE CRISTINA ??

??- La condenada Cristina Kirchner enfrentará un durísimo frente judicial durante el 2025
??-  De ser aprobado el nuevo proyecto de Ficha Limpia, NO PODRÁ PRESENTARSE a las elecciones. @BrunoYacono @GuilleLobo",https://twitter.com/agarra_pala/status/1880051182649188381,718690.0,TikTok
VERDADERO,VERDADERO,https://pbs.twimg.com/profile_banners/2384291533/1731545970,Tue Mar 11 22:39:42 +0000 2014,Co-Founder at @ThoughtleadrX. We build brands on ?? (and beyond) for incredible founders | 3+ Billion views for 100+ clients | Book your discovery call??,thoughtleadr.typeform.com/apply,https://t.co/ENFLcwT0cR,11749,68779,794,VERDADERO,VERDADERO,Book your discovery call??,1923,Tim Carden,"1,82205E+34",https://pbs.twimg.com/profile_images/1772348570554822656/AftxRX0k_normal.jpg,11014,https://twitter.com/timjcarden,https://x.com/timjcarden,timjcarden,,2940,,"1,85506E+18",Sat Nov 09 01:26:19 +0000 2024,,,,"David Ogilvy was a British spy, failed chef, and broke salesman.

Then he borrowed $6,000 &amp; uncovered the secrets of mass manipulation.

His techniques were so powerful that the government investigated him.

This is the Ogilvy playbook to hypnotizing customers ?? https://t.co/m58bNdZ3xS","1,85506E+18",,,FALSO,FALSO,FALSO,en,1534,FALSO,,,,,,,,,,,,,,,,,,,,13,,22,258,Typefully,"David Ogilvy was a British spy, failed chef, and broke salesman.

Then he borrowed $6,000 &amp; uncovered the secrets of mass manipulation.

His techniques were so powerful that the government investigated him.

This is the Ogilvy playbook to hypnotizing customers ?? https://t.co/m58bNdZ3xS",https://twitter.com/timjcarden/status/1855059308842828207,4402060.0,TikTok
FALSO,VERDADERO,https://pbs.twimg.com/profile_banners/522108784/1732524018,Mon Mar 12 09:35:42 +0000 2012,????? Grupo Parlamentario Socialista en el @Congreso_Es. Aquí legislamos para mejorar la calidad de vida de las personas.,linktr.ee/gpscongreso,https://t.co/shZlKWuQdY,4533,77487,1605,VERDADERO,FALSO,Madrid,23662,PSOE Congreso,"1,88215E+34",https://pbs.twimg.com/profile_images/1860966726625632256/Vegn8S17_normal.jpg,84932,https://twitter.com/gpscongreso,https://x.com/gpscongreso,gpscongreso,,1,,"1,85677E+18",Wed Nov 13 18:43:57 +0000 2024,,,,"La extrema derecha quiere que nadie crea en nada. 

Nuestro reto y el de las futuras generaciones es luchar contra la desinformación.

Hemos de desarrollar el Reglamento Europeo de Derechos Digitales para conseguir frenar los bulos y la desinformación.

??? @VictorCaminoVlc https://t.co/ByQtJl4T8N","1,85677E+18",,,FALSO,FALSO,FALSO,es,84,FALSO,,,,,,,,,,,,,,,,,,,,2,,56,48,Twitter Web App,"La extrema derecha quiere que nadie crea en nada. 

Nuestro reto y el de las futuras generaciones es luchar contra la desinformación.

Hemos de desarrollar el Reglamento Europeo de Derechos Digitales para conseguir frenar los bulos y la desinformación.

??? @VictorCaminoVlc https://t.co/ByQtJl4T8N",https://twitter.com/gpscongreso/status/1856769991464341550,19470.0,TikTok
